{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_06', 'train_round': 4, 'timestamp': '2024-10-21T15:15:41.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.0002466308431812808, 'cost_qom': 0.40706588659193055, 'cost_qod': 14.9, 'cost_context': 2.99, 'improvement_diff': 0.03333336114883423, 'performance_post': 0.6470000147819519, 'performance_test': 0.6136666536331177}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_08', 'train_round': 4, 'timestamp': '2024-10-21T15:15:40.000+07:00', 'edge_id': 'edge08', 'cost_resource': 0.00019214116784485507, 'cost_qom': 0.46507670459307704, 'cost_qod': 14.92, 'cost_context': 2.99, 'improvement_diff': 0.03733336925506592, 'performance_post': 0.6633333563804626, 'performance_test': 0.6259999871253967}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_05', 'train_round': 4, 'timestamp': '2024-10-21T15:15:42.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.00022730581891631835, 'cost_qom': 0.41494985763074116, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.03433328866958618, 'performance_post': 0.6416666507720947, 'performance_test': 0.6073333621025085}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_09', 'train_round': 4, 'timestamp': '2024-10-21T15:15:40.000+07:00', 'edge_id': 'edge09', 'cost_resource': 0.015327449703330569, 'cost_qom': 0.3797890831544773, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': 0.030666649341583252, 'performance_post': 0.652999997138977, 'performance_test': 0.6223333477973938}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_01', 'train_round': 4, 'timestamp': '2024-10-21T15:16:04.000+07:00', 'edge_id': 'edge01', 'cost_resource': 0.00018080328686167577, 'cost_qom': 0.2566726093459909, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.02033334970474243, 'performance_post': 0.6546666622161865, 'performance_test': 0.6343333125114441}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_04', 'train_round': 4, 'timestamp': '2024-10-21T15:16:03.000+07:00', 'edge_id': 'edge04', 'cost_resource': 0.000209025313399933, 'cost_qom': 0.6926790030355835, 'cost_qod': 14.97, 'cost_context': 2.99, 'improvement_diff': 0.05699998140335083, 'performance_post': 0.6676666736602783, 'performance_test': 0.6106666922569275}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_06', 'train_round': 5, 'timestamp': '2024-10-21T15:17:00.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.00016523923106828145, 'cost_qom': 0.1446235774189077, 'cost_qod': 14.9, 'cost_context': 2.99, 'improvement_diff': 0.010666608810424805, 'performance_post': 0.6919999718666077, 'performance_test': 0.6813333630561829}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_02', 'train_round': 4, 'timestamp': '2024-10-21T15:16:07.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.005868620888281435, 'cost_qom': 0.280262353210982, 'cost_qod': 14.93, 'cost_context': 2.99, 'improvement_diff': 0.022666633129119873, 'performance_post': 0.6439999938011169, 'performance_test': 0.6213333606719971}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_07', 'train_round': 5, 'timestamp': '2024-10-21T15:17:00.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.0, 'cost_qom': 0.0, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': -0.0013333559036254883, 'performance_post': 0.6803333163261414, 'performance_test': 0.6816666722297668}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_05', 'train_round': 5, 'timestamp': '2024-10-21T15:17:02.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.0001613358823124683, 'cost_qom': 0.3428632552365535, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.02599996328353882, 'performance_post': 0.6886666417121887, 'performance_test': 0.6626666784286499}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_09', 'train_round': 5, 'timestamp': '2024-10-21T15:17:02.000+07:00', 'edge_id': 'edge09', 'cost_resource': 0.0, 'cost_qom': 0.34255402448096106, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': 0.025666654109954834, 'performance_post': 0.6963333487510681, 'performance_test': 0.6706666946411133}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_08', 'train_round': 5, 'timestamp': '2024-10-21T15:17:02.000+07:00', 'edge_id': 'edge08', 'cost_resource': 0.00019064661066152364, 'cost_qom': 0.3271798611498617, 'cost_qod': 14.92, 'cost_context': 2.99, 'improvement_diff': 0.024333298206329346, 'performance_post': 0.699999988079071, 'performance_test': 0.6756666898727417}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_10', 'train_round': 5, 'timestamp': '2024-10-21T15:17:05.000+07:00', 'edge_id': 'edge10', 'cost_resource': 0.0002519253338232756, 'cost_qom': 0.08608020204230193, 'cost_qod': 14.96, 'cost_context': 2.99, 'improvement_diff': 0.006333291530609131, 'performance_post': 0.6893333196640015, 'performance_test': 0.6830000281333923}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_03', 'train_round': 5, 'timestamp': '2024-10-21T15:17:02.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.00014622429456598624, 'cost_qom': 0.16558568524930734, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': 0.012333333492279053, 'performance_post': 0.6869999766349792, 'performance_test': 0.6746666431427002}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_01', 'train_round': 5, 'timestamp': '2024-10-21T15:17:24.000+07:00', 'edge_id': 'edge01', 'cost_resource': 0.0001564998683506124, 'cost_qom': 0.1641347202457979, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.011999964714050293, 'performance_post': 0.6993333101272583, 'performance_test': 0.687333345413208}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_02', 'train_round': 5, 'timestamp': '2024-10-21T15:17:25.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.0029375112417249325, 'cost_qom': 0.3092526696005194, 'cost_qod': 14.93, 'cost_context': 2.99, 'improvement_diff': 0.023000001907348633, 'performance_post': 0.6986666917800903, 'performance_test': 0.6756666898727417}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_04', 'train_round': 5, 'timestamp': '2024-10-21T15:17:26.000+07:00', 'edge_id': 'edge04', 'cost_resource': 0.00020282740311012705, 'cost_qom': 0.2838713329223417, 'cost_qod': 14.97, 'cost_context': 2.99, 'improvement_diff': 0.02133333683013916, 'performance_post': 0.6899999976158142, 'performance_test': 0.668666660785675}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_05', 'train_round': 6, 'timestamp': '2024-10-21T15:18:04.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.0, 'cost_qom': 0.09737027563028278, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.006999969482421875, 'performance_post': 0.7059999704360962, 'performance_test': 0.6990000009536743}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_03', 'train_round': 6, 'timestamp': '2024-10-21T15:18:05.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.0, 'cost_qom': 0.18794510011207527, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': 0.013333380222320557, 'performance_post': 0.721666693687439, 'performance_test': 0.7083333134651184}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_06', 'train_round': 6, 'timestamp': '2024-10-21T15:18:03.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.00017292642483885464, 'cost_qom': 0.0, 'cost_qod': 14.9, 'cost_context': 2.99, 'improvement_diff': -0.010333359241485596, 'performance_post': 0.7059999704360962, 'performance_test': 0.7163333296775818}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_08', 'train_round': 6, 'timestamp': '2024-10-21T15:18:07.000+07:00', 'edge_id': 'edge08', 'cost_resource': 0.00021286962376006335, 'cost_qom': 0.2747000104081394, 'cost_qod': 14.92, 'cost_context': 2.99, 'improvement_diff': 0.019333362579345703, 'performance_post': 0.7333333492279053, 'performance_test': 0.7139999866485596}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_09', 'train_round': 6, 'timestamp': '2024-10-21T15:18:06.000+07:00', 'edge_id': 'edge09', 'cost_resource': 0.0, 'cost_qom': 0.0, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': -0.010999977588653564, 'performance_post': 0.7080000042915344, 'performance_test': 0.718999981880188}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_07', 'train_round': 6, 'timestamp': '2024-10-21T15:18:06.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.0, 'cost_qom': 0.09899627660668102, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.00700002908706665, 'performance_post': 0.7176666855812073, 'performance_test': 0.7106666564941406}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_10', 'train_round': 6, 'timestamp': '2024-10-21T15:18:07.000+07:00', 'edge_id': 'edge10', 'cost_resource': 0.0002339068916128044, 'cost_qom': 0.0, 'cost_qod': 14.96, 'cost_context': 2.99, 'improvement_diff': -0.005333304405212402, 'performance_post': 0.7136666774749756, 'performance_test': 0.718999981880188}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_02', 'train_round': 6, 'timestamp': '2024-10-21T15:18:21.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.00011873408392733446, 'cost_qom': 0.0, 'cost_qod': 14.93, 'cost_context': 2.99, 'improvement_diff': -0.01866668462753296, 'performance_post': 0.6990000009536743, 'performance_test': 0.7176666855812073}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_01', 'train_round': 6, 'timestamp': '2024-10-21T15:18:26.000+07:00', 'edge_id': 'edge01', 'cost_resource': 0.0001829902573997321, 'cost_qom': 0.22218567566525527, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.015666663646697998, 'performance_post': 0.7283333539962769, 'performance_test': 0.7126666903495789}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_04', 'train_round': 6, 'timestamp': '2024-10-21T15:18:23.000+07:00', 'edge_id': 'edge04', 'cost_resource': 0.0001553389377504519, 'cost_qom': 0.0511249298744417, 'cost_qod': 14.97, 'cost_context': 2.99, 'improvement_diff': 0.0036666393280029297, 'performance_post': 0.7043333053588867, 'performance_test': 0.7006666660308838}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_07', 'train_round': 7, 'timestamp': '2024-10-21T15:19:08.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.0, 'cost_qom': 0.029200427292643383, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.0020000338554382324, 'performance_post': 0.7356666922569275, 'performance_test': 0.7336666584014893}
