{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_06', 'train_round': 14, 'timestamp': '2024-11-05T11:02:44.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.0001687046422929317, 'cost_qom': 0.0, 'cost_qod': 12.26, 'cost_context': 2.99, 'improvement_diff': -0.004400014877319336, 'performance_post': 0.8295999765396118, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_10', 'train_round': 14, 'timestamp': '2024-11-05T11:02:45.000+07:00', 'edge_id': 'edge10', 'cost_resource': 0.00015287397501200165, 'cost_qom': 0.0, 'cost_qod': 9.88, 'cost_context': 2.99, 'improvement_diff': -0.0023999810218811035, 'performance_post': 0.83160001039505, 'performance_test': 0.1899999976158142}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_04', 'train_round': 14, 'timestamp': '2024-11-05T11:02:46.000+07:00', 'edge_id': 'edge04', 'cost_resource': 0.021927629567746403, 'cost_qom': 0.0, 'cost_qod': 12.36, 'cost_context': 2.99, 'improvement_diff': -0.004400014877319336, 'performance_post': 0.8307999968528748, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_07', 'train_round': 14, 'timestamp': '2024-11-05T11:02:48.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.00022858629583916184, 'cost_qom': 0.0, 'cost_qod': 12.3, 'cost_context': 2.99, 'improvement_diff': -0.016799986362457275, 'performance_post': 0.807200014591217, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_05', 'train_round': 14, 'timestamp': '2024-11-05T11:02:46.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.00019572556819338958, 'cost_qom': 0.0, 'cost_qod': 12.25, 'cost_context': 2.99, 'improvement_diff': -0.014400005340576172, 'performance_post': 0.8216000199317932, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_03', 'train_round': 14, 'timestamp': '2024-11-05T11:02:49.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.0002640884995213193, 'cost_qom': 0.006670592912216122, 'cost_qod': 12.29, 'cost_context': 2.99, 'improvement_diff': 0.0004000067710876465, 'performance_post': 0.8384000062942505, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_02', 'train_round': 14, 'timestamp': '2024-11-05T11:02:45.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.003582655847775413, 'cost_qom': 0.0, 'cost_qod': 12.44, 'cost_context': 2.99, 'improvement_diff': -0.0059999823570251465, 'performance_post': 0.8324000239372253, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_09', 'train_round': 14, 'timestamp': '2024-11-05T11:02:51.000+07:00', 'edge_id': 'edge09', 'cost_resource': 0.00019415171045772736, 'cost_qom': 0.0, 'cost_qod': 11.59, 'cost_context': 2.99, 'improvement_diff': -0.0004000067710876465, 'performance_post': 0.8155999779701233, 'performance_test': 0.1899999976158142}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_08', 'train_round': 14, 'timestamp': '2024-11-05T11:02:46.000+07:00', 'edge_id': 'edge08', 'cost_resource': 0.00019794137697905304, 'cost_qom': 0.0, 'cost_qod': 10.76, 'cost_context': 2.99, 'improvement_diff': -0.0252000093460083, 'performance_post': 0.8136000037193298, 'performance_test': 0.1899999976158142}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_tester', 'train_round': 14, 'timestamp': '2024-11-05T11:02:56.000+07:00', 'edge_id': 'edge_tester', 'cost_resource': 0.0, 'cost_qom': 0.0, 'cost_qod': 9.74, 'cost_context': 2.99, 'improvement_diff': 0.0, 'performance_post': 0.0, 'performance_test': 0.843999981880188}
